Model_Year,Model_Number,Trim,Lease_Term,Tier,Lease_Cash,Residual_Value,Residual_Percentage
2025,49452FT5,4dr Sdn N-Line,36,4 (680-699),$0,0.00276,0.65
2025,49452FT5,4dr Sdn N-Line,36,5 (660-679),$0,0.00294,0.65
2025,49452FT5,4dr Sdn N-Line,36,6 (640-659),$0,0.00308,0.65
2025,49452FT5,4dr Sdn N-Line,36,7 (620-639),$0,0.00313,0.65
2025,49452FT5,4dr Sdn N-Line,36,8 (580-619),$0,0.00370,0.65
2025,494E2F4S,4dr Sdn SE,36,1 (740-999),$1250,0.00245,0.61
2025,494E2F4S,4dr Sdn SE,36,2 (720-739),$1250,0.00245,0.61
2025,494E2F4S,4dr Sdn SE,36,3 (700-719),$1250,0.00263,0.61
2025,494E2F4S,4dr Sdn SE,36,4 (680-699),$1250,0.00276,0.61
2025,494E2F4S,4dr Sdn SE,36,5 (660-679),$1250,0.00294,0.61
2025,494E2F4S,4dr Sdn SE,36,6 (640-659),$1250,0.00308,0.61
